index,요리이름,칼로리,탄수화물,단백질,지질,나트륨,콜레스테롤,식이섬유,칼슘,비타민c,당류
2843,오사카규카츠,48.8,23.2,127.9,77.1,97.6,199.3,13.3,14.2,0.3,0.0
2844,사골돼지전골,22.2,1.1,59.5,52.5,30.9,33.0,12.9,21.8,0.0,0.0
2845,아웃백허니버터,64.8,12.4,1.8,254.1,58.1,133.7,0.0,5.3,1.6,0.0
2846,우삼겹덮밥,16.6,8.7,59.6,18.8,161.6,65.5,8.0,8.1,10.8,0.0
2847,야끼교자,9.8,6.0,15.7,18.4,12.3,60.9,16.6,5.2,0.9,0.0
2848,팝콘새우,14.7,11.1,54.3,5.2,73.2,74.9,4.6,36.4,4.3,0.0
2849,핫도그,87.3,71.3,113.2,104.3,228.7,131.7,32.5,55.2,2.9,0.0
2851,반반김치찌개,27.2,7.8,113.3,47.9,100.6,29.4,57.1,64.3,40.9,0.0
2852,돼지고기피망잡채,9.7,2.1,15.1,25.6,1.4,11.1,10.0,1.4,52.0,0.0
2853,해물짬뽕라면,11.0,1.4,45.4,21.6,12.9,86.1,3.9,8.3,6.2,0.0
2854,해쉬포테이토,3.3,4.3,4.9,0.6,6.0,0.0,4.8,0.7,23.4,0.0
2856,돼지고기달걀장조림,61.2,25.7,125.4,103.7,283.1,315.4,7.6,16.2,7.0,0.0
2859,맥반석달걀,8.7,1.1,27.0,20.3,32.0,199.5,0.0,8.6,0.0,0.0
2860,취나물무침,8.1,3.4,9.7,24.9,18.9,0.0,28.7,24.2,16.0,0.0
2862,Lemon Sable Cookies,21.2,9.6,1.0,66.7,31.4,34.8,2.0,3.3,17.3,0.0
2863,방울토마토 피클,17.5,26.4,1.3,0.1,0.5,0.0,3.3,2.6,12.3,0.0
2864,머쉬룸 바질페스토 파스타,22.3,23.9,21.3,0.5,1.0,0.2,13.8,2.1,3.9,0.0
2865,파프리카 치즈 달걀찜,9.8,3.5,29.7,19.1,24.6,154.6,11.7,21.0,259.2,0.0
2866,초간단 치즈불닭,8.6,12.0,6.9,2.6,77.9,0.0,16.9,3.5,2.6,0.0
2867,마늘 멸치볶음,7.3,6.0,22.3,4.2,62.0,29.3,6.3,58.5,9.2,0.0
2868,차돌박이초밥,19.3,21.2,34.7,9.9,11.1,10.2,3.4,2.1,1.6,0.0
2869,스파게티피자,31.6,31.7,42.4,23.7,20.9,9.0,19.6,14.4,2.0,0.0
2870,중화 비빔밥,17.6,13.6,49.0,15.9,9.7,93.4,9.9,8.4,10.7,0.0
2871,불고기짬뽕,33.2,13.8,113.1,51.6,47.7,79.8,43.7,67.0,50.6,0.0
2872,크림치즈 베이글,113.9,47.4,105.1,318.2,117.3,120.0,42.9,59.5,11.0,30.8
2873,전자레인지치킨,81.5,20.2,254.1,164.5,41.0,177.1,6.7,85.2,18.3,0.0
2874,쟁반짜장면,125.1,61.4,291.0,217.5,421.9,365.3,86.8,61.5,57.4,0.0
2875,막창떡볶이,33.6,43.1,32.1,11.1,58.0,2.3,46.0,16.9,18.8,2.0
2876,코코넛 쉬림프,18.9,12.1,63.4,13.3,36.5,158.1,6.9,17.4,1.1,0.0
2877,두두콩국수,51.3,35.5,118.3,69.4,108.1,0.0,78.7,89.2,14.9,0.0
2878,목살 스테이크 샐러드,67.0,15.0,226.7,134.5,189.6,202.9,10.7,149.4,8.7,9.4
2879,짜장라면,95.0,92.2,131.0,110.0,127.0,32.5,141.8,33.7,14.1,0.0
2881,해물순두부찌개,36.6,10.1,167.1,53.5,155.3,299.5,40.0,90.9,34.5,0.0
2882,양파스프,33.6,17.6,40.5,61.9,87.2,44.4,18.6,62.7,17.6,0.0
2890,된장미역수제비,3.2,4.4,13.3,2.6,81.4,0.0,36.4,33.2,30.5,0.0
2896,오징어채볶음,1.3,1.3,0.7,1.8,6.6,0.0,1.8,0.5,0.2,0.0
2903,닭개장,17.4,10.4,21.2,43.5,199.4,0.3,58.5,14.6,36.8,0.0
2904,스팸 김치찜,18.6,11.4,53.5,37.7,358.3,21.0,84.5,44.8,97.1,0.0
2905,볶음쌀국수,60.6,122.5,66.7,26.1,162.9,212.7,42.6,26.2,35.7,0.0
2906,오삼불고기,35.6,11.3,104.5,73.8,111.6,152.3,31.0,18.9,25.8,0.0
2907,단호박케이크,56.8,33.2,31.6,138.2,58.4,69.8,19.0,38.2,0.0,0.0
2910,Doriyaki - Japanese Red Bean Pancake,65.6,67.2,128.0,43.1,7.6,9.9,217.6,78.9,2.7,1.7
2913,고등어묵은지조림,35.9,6.6,141.0,73.1,257.7,91.9,54.0,37.2,57.9,0.0
2914,깐풍대하,22.2,14.4,101.6,3.9,71.9,296.0,2.4,34.5,10.6,0.0
2915,대하미역국,6.5,0.6,49.9,1.8,9.0,148.0,1.4,15.9,3.1,0.0
2916,돌솥비빔밥,22.5,24.9,26.8,11.2,8.5,99.8,16.5,7.1,9.5,0.0
2917,에그프리타타,30.3,11.0,80.8,60.3,123.8,319.9,19.6,50.6,18.1,0.0
2918,어묵콩나물볶음,8.9,5.9,20.0,14.7,84.8,2.4,13.7,10.0,10.9,0.0
2919,감잣국,2.0,1.7,7.0,1.7,36.3,8.4,8.6,17.4,9.4,0.0
2920,감자베이컨전,12.2,7.8,14.8,6.9,78.2,5.9,7.3,1.5,47.3,0.0
